Batter,FirstLetterLastName,FirstFiveLastName,FirstTwoFirstName,Number,Link
Jakob Bauers,b,bauer,ja,01,bauerja01
Jacob deGrom,d,degro,ja,01,degroja01
Max Scherzer,s,scher,ma,01,scherma01
Jed Lowrie,l,lowri,je,01,lowrije01
Buster Posey,p,posey,bu,01,poseybu01
Mitch Haniger,h,hanig,mi,01,hanigmi01
Tom Murphy,m,murph,to,04,murphto04
Brandon Woodruff,w,woodr,br,01,woodrbr01
Tyler Anderson,a,ander,ty,01,anderty01
Kyle Hendricks,h,hendr,ky,01,hendrky01
Max Fried,f,fried,ma,01,friedma01
Aaron Nola,n,nola,aa,01,nolaaa01
Tyler Glasnow,g,glasn,ty,01,glasnty01
Sandy Alcantara,a,alcan,sa,01,alcansa01
Jack Flaherty,f,flahe,ja,01,flaheja01
Luis Castillo,c,casti,lu,02,castilu02
Clayton Kershaw,k,kersh,cl,01,kershcl01
German Marquez,m,marqu,ge,01,marquge01
Madison Bumgarner,b,bumga,ma,01,bumgama01
Yu Darvish,d,darvi,yu,01,darviyu01
Kenta Maeda,m,maeda,ke,02,maedake02
Trey Mancini,m,manci,tr,01,mancitr01
Shed Long,l,long,sh,01,longsh01
Evan White,w,white,ev,01,whiteev01
Kyle Lewis,l,lewis,ky,01,lewisky01
Kyle Seager,s,seage,ky,01,seageky01
Tim Lopes,l,lopes,ti,01,lopesti01
J.P. Crawford,c,crawf,j.,01,crawfjp01
Dylan Moore,m,moore,dy,01,mooredy01
Mallex Smith,s,smith,ma,05,smithma05
Joseph Odom,o,odom,jo,01,odomjo01
David Fletcher,f,fletc,da,02,fletcda02
Mike Trout,t,trout,mi,01,troutmi01
Anthony Rendon,r,rendo,an,01,rendoan01
Justin Upton,u,upton,ju,01,uptonju01
Shohei Ohtani,o,ohtan,sh,01,ohtansh01
Albert Pujols,p,pujol,al,01,pujolal01
Tommy La Stella,l,la st,to,01,lasteto01
Max Stassi,s,stass,ma,01,stassma01
Taylor Ward,w,ward,ta,01,wardta01
Jose Marmolejos,m,marmo,jo,01,marmojo01
Dee Strange-Gordon,s,stran,de,01,gordode01
Dee Gordon,g,gordo,de,01,gordode01
Jared Walsh,w,walsh,ja,01,walshja01
Jason Castro,c,castr,ja,01,castrja01
Brian Goodwin,g,goodw,br,01,goodwbr01
Daniel Vogelbach,v,vogel,da,01,vogelda01
Joe Hudson,h,hudso,jo,03,hudsojo03
