Batter,BatterHand
Shed Long,L
Evan White,R
Kyle Lewis,R
Kyle Seager,L
Tim Lopes,R
J.P. Crawford,L
Dylan Moore,R
Mallex Smith,L
Joseph Odom,R
David Fletcher,R
Mike Trout,R
Anthony Rendon,R
Justin Upton,R
Shohei Ohtani,L
Albert Pujols,R
Tommy La Stella,L
Max Stassi,R
Taylor Ward,R
Jose Marmolejos,L
Dee Strange-Gordon,L
Jared Walsh,L
Jason Castro,L
Brian Goodwin,L
Daniel Vogelbach,L
Joe Hudson,R
Luis Rengifo,B
George Springer,R
Jose Altuve,R
Alex Bregman,R
Michael Brantley,L
Yulieski Gurriel,R
Carlos Correa,R
Josh Reddick,L
Kyle Tucker,L
Martin Maldonado,R
Michael Hermosillo,R
Abraham Toro,B
Matt Thaiss,L
Jack Mayfield,R
Dustin Garneau,R
Marcus Semien,R
Ramon Laureano,R
Matt Olson,L
Matt Chapman,R
Mark Canha,R
Robbie Grossman,B
Stephen Piscotty,R
Chad Pinder,R
Sean Murphy,R
Jo Adell,R
Khris Davis,R
Tony Kemp,L
Austin Allen,L
Mookie Betts,R
Corey Seager,L
Justin Turner,R
A.J. Pollock,R
Cody Bellinger,L
Chris Taylor,R
Enrique Hernandez,R
Edwin Rios,L
Austin Barnes,R
Max Muncy,L
Joc Pederson,L
Matt Beaty,L
Keibert Ruiz,B
Mike Yastrzemski,L
Alex Dickerson,L
Donovan Solano,R
Brandon Belt,L
Evan Longoria,R
Pablo Sandoval,B
Brandon Crawford,L
Mauricio Dubon,R
Chadwick Tromp,R
Tyler Heineman,B
Steven Duggar,L
Anthony Bemboom,L
Sam Haggerty,B
Austin Nola,R
Braden Bishop,R
Andrelton Simmons,R
Jake Fraley,L
Donovan Walton,L
Trent Grisham,L
Fernando Tatis,R
Manny Machado,R
Eric Hosmer,L
Mitch Moreland,L
Jake Cronenworth,L
Jurickson Profar,B
Greg Allen,B
Wil Myers,R
Jorge Mateo,R
Franklin Barreto,R
Aledmys Diaz,R
Jose Briceno,R
Josh Rojas,L
Pavin Smith,L
Christian Walker,R
Kole Calhoun,L
Eduardo Escobar,B
David Peralta,L
Nick Ahmed,R
Daulton Varsho,L
Carson Kelly,R
Josh VanMeter,L
Stephen Vogt,L
Leody Taveras,B
Nick Solak,R
Isiah Kiner-Falefa,R
Joey Gallo,L
Ronald Guzman,L
Anderson Tejeda,B
Willie Calhoun,L
Sam Huff,R
Eli White,R
Rougned Odor,L
Sherten Apostel,R
Jeff Mathis,R
Derek Dietrich,L
