Pitcher,FirstLetterLastName,FirstFiveLastName,FirstTwoFirstName,Number,Link
Justus Sheffield,s,sheff,ju,01,sheffju01
Justin Dunn,d,dunn,ju,01,dunnju01
Marco Gonzales,g,gonza,ma,02,gonzama02
Lance McCullers Jr.,m,mccul,la,01,mcculla02
Zack Greinke,g,grein,za,01,greinza01
Josh James,j,james,jo,02,jamesjo02
Sean Manaea,m,manae,se,01,manaese01
Mike Fiers,f,fiers,mi,01,fiersmi01
Chris Bassitt,b,bassi,ch,01,bassich01
Clayton Kershaw,k,kersh,cl,01,kershcl01
Walker Buehler,b,buehl,wa,01,buehlwa01
Dustin May,m,may,du,01,maydu01
Tyler Anderson,a,ander,ty,01,anderty01
Trevor Cahill,c,cahil,tr,01,cahiltr01
Nick Margevicius,m,marge,ni,01,margeni01
Dinelson Lamet,l,lamet,di,01,lametdi01
Mike Clevinger,c,clevi,mi,01,clevimi01
Framber Valdez,v,valde,fr,01,valdefr01
Madison Bumgarner,b,bumga,ma,01,bumgama01
Caleb Smith,s,smith,ca,03,smithca03
Alex Young,y,young,al,01,youngal01
Jimmy Herget,h,herge,ji,01,hergeji01
Lance Lynn,l,lynn,la,01,lynnla01
Kyle Cody,c,cody,ky,01,codyky01
Kyle Gibson,g,gibso,ky,01,gibsoky01
Ross Stripling,s,strip,ro,01,stripro01
Tony Gonsolin,g,gonso,to,01,gonsoto01
Julio Urias,u,urias,ju,01,uriasju01
Cristian Javier,j,javie,cr,01,javiecr01
Brandon Bielak,b,biela,br,01,bielabr01
Cal Quantrill,q,quant,ca,01,quantca01
Garrett Richards,r,richa,ga,01,richaga01
Frankie Montas,m,monta,fr,02,montafr02
Ryan Castellani,c,caste,ry,01,castery01
German Marquez,m,marqu,ge,01,marquge01
Jon Gray,g,gray,jo,02,grayjo02
Johnny Cueto,c,cueto,jo,01,cuetojo01
Yusei Kikuchi,k,kikuc,yu,01,kikucyu01
Jordan Lyles,l,lyles,jo,01,lylesjo01
Wes Benjamin,b,benja,we,01,benjawe01
Kyle Freeland,f,freel,ky,01,freelky01
Charlie Morton,m,morto,ch,02,mortoch02
Ryan Yarbrough,y,yarbr,ry,01,yarbrry01
Rick Porcello,p,porce,ri,01,porceri01
Michael Wacha,w,wacha,mi,01,wachami01
David Peterson,p,peter,da,01,peterda01
Jacob deGrom,d,degro,ja,01,degroja01
Matt Shoemaker,s,shoem,ma,01,shoemma01
Hyun Jin Ryu,j,jin r,hy,01,ryuhy01
Nate Pearson,p,pears,na,01,pearsna01
Anibal Sanchez,s,sanch,an,01,sanchan01
Austin Voth,v,voth,au,01,vothau01
Aaron Nola,n,nola,aa,01,nolaaa01
Zack Wheeler,w,wheel,za,01,wheelza01
Zach Eflin,e,eflin,za,01,eflinza01
Erick Fedde,f,fedde,er,01,feddeer01
Patrick Corbin,c,corbi,pa,01,corbipa01
Jose Urena,u,urena,jo,01,urenajo01
Sixto Sanchez,s,sanch,si,01,sanchsi01
Pablo Lopez,l,lopez,pa,01,lopezpa01
Trevor Rogers,r,roger,tr,01,rogertr01
Chris Mazza,m,mazza,ch,01,mazzach01
Tanner Houck,h,houck,ta,01,houckta01
Nick Pivetta,p,pivet,ni,01,pivetni01
Trevor Bauer,b,bauer,tr,01,bauertr01
Luis Castillo,c,casti,lu,02,castilu02
Sandy Alcantara,a,alcan,sa,01,alcansa01
Gerrit Cole,c,cole,ge,01,colege01
J.A. Happ,h,happ,j.,01,happja01
Blake Snell,s,snell,bl,01,snellbl01
Tyler Glasnow,g,glasn,ty,01,glasnty01
Yonny Chirinos,c,chiri,yo,01,chiriyo01
