Pitcher,PitcherHand
Justus Sheffield,L
Justin Dunn,R
Marco Gonzales,L
Lance McCullers Jr.,R
Zack Greinke,R
Josh James,R
Sean Manaea,L
Mike Fiers,R
Chris Bassitt,R
Clayton Kershaw,L
Walker Buehler,R
Dustin May,R
Tyler Anderson,L
Trevor Cahill,R
Nick Margevicius,L
Dinelson Lamet,R
Mike Clevinger,R
Framber Valdez,L
Madison Bumgarner,L
Caleb Smith,L
Alex Young,L
Jimmy Herget,R
Lance Lynn,R
Kyle Cody,R
Kyle Gibson,R
Ross Stripling,R
Tony Gonsolin,R
Julio Urias,L
Cristian Javier,R
Brandon Bielak,R
Cal Quantrill,R
Garrett Richards,R
Frankie Montas,R
Ryan Castellani,R
German Marquez,R
Jon Gray,R
Johnny Cueto,R
Yusei Kikuchi,L
Jordan Lyles,R
Wes Benjamin,L
Kyle Freeland,L
Charlie Morton,R
Ryan Yarbrough,L
Rick Porcello,R
Michael Wacha,R
David Peterson,L
Jacob deGrom,R
Matt Shoemaker,R
Hyun-Jin Ryu,L
Nate Pearson,R
Anibal Sanchez,R
Austin Voth,R
Aaron Nola,R
Zack Wheeler,R
Zach Eflin,R
Erick Fedde,R
Patrick Corbin,L
Jose Urena,R
Sixto Sanchez,R
Pablo Lopez,R
Trevor Rogers,L
Chris Mazza,R
Tanner Houck,R
Nick Pivetta,R
Trevor Bauer,R
Luis Castillo,R
Sandy Alcantara,R
Gerrit Cole,R
J.A. Happ,L
Blake Snell,L
Tyler Glasnow,R
Yonny Chirinos,R
Jordan Yamamoto,R
Stephen Strasburg,R
Max Scherzer,R
Tanner Roark,R
Nathan Eovaldi,R
Colten Brewer,R
Martin Perez,L
Zack Godley,R
Ariel Jurado,R
Masahiro Tanaka,R
Touki Toussaint,R
Huascar Ynoa,R
Cole Hamels,L
Tommy Milone,L
Alex Cobb,R
Wade LeBlanc,L
Chase Anderson,R
Andrew Kittredge,R
Jake Arrieta,R
Max Fried,L
Ian Anderson,R
Robbie Erlin,L
Taijuan Walker,R
Robbie Ray,L
Jordan Montgomery,L
Deivi Garcia,R
Keegan Akin,L
Dean Kremer,R
Jose Berrios,R
Randy Dobnak,R
Kenta Maeda,R
Adrian Houser,R
Josh Lindblom,R
Aaron Civale,R
Zach Plesac,R
Shane Bieber,R
Dakota Hudson,R
Matt Boyd,L
Tarik Skubal,L
Casey Mize,R
Spencer Turnbull,R
Steven Brault,L
Trevor Williams,R
Danny Duffy,L
Brady Singer,R
Kris Bubic,L
Michael Fulmer,R
Jake Odorizzi,R
Yu Darvish,R
Jon Lester,L
Adbert Alzolay,R
Brandon Woodruff,R
Corbin Burnes,R
Freddy Peralta,R
Mitch Keller,R
Brett Anderson,L
Daniel Ponce de Leon,R
Dallas Keuchel,L
Reynaldo Lopez,R
Dylan Cease,R
Jack Flaherty,R
Johan Oviedo,R
Tyler Mahle,R
Sonny Gray,R
Carlos Carrasco,R
Rich Hill,L
Michael Pineda,R
Ivan Nova,R
Alec Mills,R
Kyle Hendricks,R
Brad Keller,R
Chad Kuhl,R
Tyler Chatwood,R
Kwang Hyun Kim,L
Joe Musgrove,R
JT Brubaker,R
Jonathan Stiever,R
Ronald Bolanos,R
Lucas Giolito,R
Tejay Antone,R
Jakob Junis,R
Dane Dunning,R
Joey Lucchesi,L
Zach Davies,R
Kevin Gausman,R
Logan Webb,R
Zac Gallen,R
Luke Weaver,R
Kolby Allard,L
Michel Baez,R
Chris Paddack,R
Griffin Canning,R
Jaime Barria,R
Andrew Heaney,L
Alex Wood,L
Mike Montgomery,L
Kyle Zimmer,R
Gio Gonzalez,L
Adam Plutko,R
Triston McKenzie,R
Kendall Graveman,R
Nestor Cortes Jr.,L
Antonio Senzatela,R
Patrick Sandoval,L
Luis Garcia,R
Jesus Luzardo,L
John Curtiss,R
Devin Smeltzer,L
Matt Wisler,R
Adam Wainwright,R
Austin Gomber,L
Carlos Martinez,R
Jordan Zimmermann,R
Drew Smyly,L
Jeff Samardzija,R
Luis Perdomo,R
Julio Teheran,R
Brent Suter,L
Kyle Wright,R
Robert Gsellman,R
Corey Oswalt,R
Josh Fleming,L
Julian Merryweather,R
Spencer Howard,R
Vince Velasquez,R
Mike Kickham,L
Carlos Rodon,L
Anthony DeSclafani,R
Tyler Clippard,R
Derek Holland,L
Jose Urquidy,R
Ryan Weber,R
Austin Brice,R
Trevor Richards,R
John Means,L
Ryan Thompson,R
Mike Soroka,R
Sean Newcomb,L
Humberto Mejia,R
Daniel Castano,L
Elieser Hernandez,R
Jorge Lopez,R
Pete Fairbanks,R
Dylan Bundy,R
Shohei Ohtani,R
Mike Minor,L
Merrill Kelly,R
Robert Dugger,R
Thomas Eshelman,R
Walker Lockett,R
Steven Matz,L
Josh Tomlin,R
Seth Lugo,R
Jose Quintana,L
Chi Chi Gonzalez,R
Brusdar Graterol,R
Luis Patino,R
Jose Suarez,L
Taylor Clarke,R
Ljay Newsome,R
Adrian Morejon,L
Wade Miley,L
Matt Harvey,R
Tom Hatch,R
Mike Foltynewicz,R
James Paxton,L
Trent Thornton,R
Asher Wojciechowski,R
Andrew Triggs,R
Chase De Jong,R
Kyle Hart,L
Michael King,R
Jonathan Loaisiga,R
Matt Andriese,R
Bryse Wilson,R
Tucker Davidson,L
A.J. Minter,L
Josh Osich,L
Matt Hall,L
Ryan Brasier,R
Robinson Leyer,R
Matt Foster,R
Colin Rea,R
Michael Lorenzen,R
Rony Garcia,R
Tyler Alexander,L
Justin Verlander,R
Carlos Hernandez,R
Joe Kelly,R
Victor Gonzalez,L
Eric Lauer,L
Homer Bailey,R
Lewis Thorpe,L
Clarke Schmidt,R
Daniel Mengden,R
Adonis Medina,R
Craig Stammen,R
Caleb Baragar,L
Aaron Slegers,R
Corey Kluber,R
T.J. Zeuch,R
Kohei Arihara,R
Lance McCullers,R
Cole Irvin,L
Chris Flexen,R
Bruce Zimmermann,L
Taylor Widener,R
Domingo German,R
Jeff Hoffman,R
Logan Allen,L
Jose De Leon,R
Matt Moore,L
John Gant,R
Marcus Stroman,R
Aaron Sanchez,R
Nick Neidert,R
Eduardo Rodriguez,L
Joe Ross,R
David Phelps,R
Chris Archer,R
Riley Smith,R
Brent Honeywell,R
Jameson Taillon,R
Anthony Kay,L
Kwang-Hyun Kim,L
Ervin Santana,R
Miguel Yajure,R
Ryan Weathers,L
