Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,Framber Valdez (17266514),Framber Valdez,17266514,P,12000,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
SP,Cristian Javier (17266515),Cristian Javier,17266515,P,11400,SEA@HOU 04/26/2021 08:10PM ET,HOU,22.12
SP,Justin Verlander (17266516),Justin Verlander,17266516,P,11200,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
SP,Jose Urquidy (17266284),Jose Urquidy,17266284,P,11100,SEA@HOU 04/26/2021 08:10PM ET,HOU,11.46
SP,Zack Greinke (17266517),Zack Greinke,17266517,P,11000,SEA@HOU 04/26/2021 08:10PM ET,HOU,16.78
SP,Lance McCullers Jr. (17266518),Lance McCullers Jr.,17266518,P,10700,SEA@HOU 04/26/2021 08:10PM ET,HOU,13.66
SP,Shohei Ohtani (17266285),Shohei Ohtani,17266285,P,10600,LAA@TEX 04/26/2021 08:05PM ET,LAA,1.82
RP,Ryan Pressly (17266519),Ryan Pressly,17266519,P,10500,SEA@HOU 04/26/2021 08:10PM ET,HOU,5.38
SP,Dylan Bundy (17266520),Dylan Bundy,17266520,P,10400,LAA@TEX 04/26/2021 08:05PM ET,LAA,17.3
RP,Luis Garcia (17266521),Luis Garcia,17266521,P,10300,SEA@HOU 04/26/2021 08:10PM ET,HOU,9.94
SP,Alex Cobb (17266522),Alex Cobb,17266522,P,10200,LAA@TEX 04/26/2021 08:05PM ET,LAA,14.42
SP,Jake Odorizzi (17266523),Jake Odorizzi,17266523,P,10100,SEA@HOU 04/26/2021 08:10PM ET,HOU,4.73
RP,Brandon Bielak (17266524),Brandon Bielak,17266524,P,10000,SEA@HOU 04/26/2021 08:10PM ET,HOU,7.48
SP,Andrew Heaney (17266525),Andrew Heaney,17266525,P,9900,LAA@TEX 04/26/2021 08:05PM ET,LAA,19.12
SP,Dane Dunning (17266526),Dane Dunning,17266526,P,9800,LAA@TEX 04/26/2021 08:05PM ET,TEX,13.64
SP,Griffin Canning (17266527),Griffin Canning,17266527,P,9700,LAA@TEX 04/26/2021 08:05PM ET,LAA,7.64
SP,Josh James (17266528),Josh James,17266528,P,9600,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
SP,Yusei Kikuchi (17266529),Yusei Kikuchi,17266529,P,9500,SEA@HOU 04/26/2021 08:10PM ET,SEA,10.86
SP,Jose Quintana (17266530),Jose Quintana,17266530,P,9400,LAA@TEX 04/26/2021 08:05PM ET,LAA,7.57
SP,Mike Foltynewicz (17266531),Mike Foltynewicz,17266531,P,9300,LAA@TEX 04/26/2021 08:05PM ET,TEX,12.82
SP,Brett Conine (17266532),Brett Conine,17266532,P,9200,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
RP,Jordan Lyles (17266286),Jordan Lyles,17266286,P,9200,LAA@TEX 04/26/2021 08:05PM ET,TEX,12.75
OF,Mike Trout (17266288),Mike Trout,17266288,OF/UTIL,9200,LAA@TEX 04/26/2021 08:05PM ET,LAA,11.88
SP,James Paxton (17266533),James Paxton,17266533,P,9100,SEA@HOU 04/26/2021 08:10PM ET,SEA,4.4
SP,Kohei Arihara (17266534),Kohei Arihara,17266534,P,9000,LAA@TEX 04/26/2021 08:05PM ET,TEX,9.25
SP,Jairo Solis (17266535),Jairo Solis,17266535,P,8900,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
SP,Justus Sheffield (17266287),Justus Sheffield,17266287,P,8800,SEA@HOU 04/26/2021 08:10PM ET,SEA,12.3
SP,Shawn Dubin (17266536),Shawn Dubin,17266536,P,8800,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
SP,Kyle Gibson (17266537),Kyle Gibson,17266537,P,8700,LAA@TEX 04/26/2021 08:05PM ET,TEX,16.34
OF,Michael Brantley (17266290),Michael Brantley,17266290,OF/UTIL,8600,SEA@HOU 04/26/2021 08:10PM ET,HOU,8.33
SP,Jose Suarez (17266538),Jose Suarez,17266538,P,8600,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
SP,Marco Gonzales (17266539),Marco Gonzales,17266539,P,8500,SEA@HOU 04/26/2021 08:10PM ET,SEA,10.91
SP,Chris Flexen (17266540),Chris Flexen,17266540,P,8400,SEA@HOU 04/26/2021 08:10PM ET,SEA,17.14
SS,Carlos Correa (17266292),Carlos Correa,17266292,INF/UTIL,8300,SEA@HOU 04/26/2021 08:10PM ET,HOU,8.25
SP,Austin Hansen (17266541),Austin Hansen,17266541,P,8300,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
RP,Justin Dunn (17266542),Justin Dunn,17266542,P,8200,SEA@HOU 04/26/2021 08:10PM ET,SEA,13.27
