Team,BP_K/9,BP_BB/9,BP_K/BB,BP_HR/9,BP_K%,BP_BB%,BP_K-BB%,BP_AVG,BP_WHIP,BP_BABIP,BP_LOB%,BP_ERA-,BP_FIP-,BP_xFIP-,BP_ERA,BP_FIP,BP_E-F,BP_xFIP,BP_SIERA
Houston Astros,10.08,2.5,4.03,1.05,0.274,0.068,0.206,0.227,1.14,0.292,0.742,88,79,79,3.56,3.32,0.24,3.37,3.05
Washington Nationals,8.81,2.95,2.98,0.86,0.238,0.08,0.158,0.23,1.19,0.286,0.753,79,86,93,3.37,3.54,-0.17,3.84,3.54
New York Mets,9.75,3.24,3.01,0.96,0.256,0.085,0.171,0.234,1.26,0.299,0.763,90,87,94,3.53,3.54,-0.01,3.87,3.48
Los Angeles Dodgers,9.65,3.11,3.1,0.98,0.26,0.084,0.177,0.218,1.16,0.276,0.769,84,88,93,3.35,3.55,-0.2,3.85,3.42
Cleveland Indians,9.09,3.36,2.71,0.94,0.242,0.09,0.153,0.231,1.24,0.288,0.752,79,85,87,3.45,3.66,-0.21,3.71,3.55
Boston Red Sox,9.7,3.69,2.63,0.9,0.254,0.097,0.157,0.231,1.28,0.297,0.752,81,88,95,3.56,3.67,-0.11,4.03,3.63
Atlanta Braves,8.61,4.06,2.12,0.67,0.22,0.104,0.116,0.246,1.4,0.31,0.717,95,92,104,3.95,3.71,0.24,4.3,4.02
Oakland Athletics,8.5,3.09,2.75,0.95,0.224,0.081,0.142,0.241,1.27,0.294,0.714,98,89,95,4.01,3.72,0.29,4.04,3.73
Kansas City Royals,8.49,3.14,2.71,0.92,0.224,0.083,0.141,0.244,1.28,0.3,0.773,81,90,93,3.45,3.75,-0.3,3.95,3.69
Miami Marlins,9.17,4.21,2.18,0.77,0.237,0.109,0.128,0.232,1.35,0.296,0.754,92,93,101,3.63,3.76,-0.12,4.19,3.95
San Francisco Giants,7.91,3.14,2.51,0.85,0.211,0.084,0.127,0.238,1.25,0.287,0.745,90,97,99,3.65,3.78,-0.13,4.09,3.84
St. Louis Cardinals,8.86,3.33,2.66,0.98,0.234,0.088,0.146,0.227,1.23,0.278,0.742,89,94,94,3.62,3.83,-0.2,3.87,3.65
New York Yankees,10.15,3.23,3.14,1.18,0.27,0.086,0.184,0.221,1.19,0.28,0.759,86,86,87,3.67,3.83,-0.16,3.72,3.3
Chicago Cubs,9.92,3.81,2.61,1.05,0.262,0.101,0.162,0.208,1.2,0.262,0.753,86,94,90,3.56,3.87,-0.31,3.72,3.51
Detroit Tigers,7.88,3.2,2.46,0.92,0.206,0.084,0.122,0.256,1.34,0.307,0.716,100,90,98,4.22,3.88,0.34,4.17,3.89
Baltimore Orioles,8.34,3.45,2.42,0.94,0.221,0.091,0.13,0.241,1.29,0.293,0.773,80,89,97,3.4,3.9,-0.51,4.11,3.86
Milwaukee Brewers,8.05,3.43,2.35,0.91,0.209,0.089,0.12,0.249,1.34,0.3,0.756,85,94,103,3.61,3.96,-0.35,4.27,3.98
Seattle Mariners,9.48,3.08,3.07,1.22,0.251,0.082,0.169,0.23,1.22,0.283,0.782,89,95,92,3.55,3.97,-0.42,3.93,3.48
Toronto Blue Jays,9.16,2.64,3.47,1.24,0.239,0.069,0.17,0.249,1.27,0.304,0.739,98,93,91,4.11,3.98,0.13,3.88,3.43
Chicago White Sox,8.32,4.25,1.95,0.77,0.212,0.108,0.103,0.246,1.42,0.304,0.745,89,94,102,3.68,3.99,-0.31,4.33,4.15
San Diego Padres,8.35,3.61,2.31,1.04,0.217,0.094,0.123,0.241,1.33,0.289,0.721,103,100,106,4.18,4.1,0.08,4.4,4.02
Pittsburgh Pirates,8.25,3.57,2.31,1.02,0.214,0.092,0.121,0.248,1.35,0.299,0.756,87,100,101,3.57,4.12,-0.55,4.19,3.95
Minnesota Twins,8.5,3.14,2.71,1.24,0.216,0.08,0.136,0.271,1.43,0.324,0.71,108,97,97,4.63,4.18,0.45,4.12,3.81
Colorado Rockies,8.19,3.55,2.3,1.17,0.205,0.089,0.116,0.269,1.47,0.32,0.678,106,99,103,5.13,4.35,0.78,4.27,3.98
Los Angeles Angels,7.23,3.13,2.31,1.14,0.188,0.082,0.107,0.255,1.34,0.293,0.763,93,104,105,3.77,4.35,-0.58,4.45,4.15
Texas Rangers,7.33,3.28,2.24,1.14,0.19,0.085,0.105,0.258,1.36,0.298,0.726,97,100,100,4.4,4.38,0.02,4.23,4.03
Tampa Bay Rays,8.35,3.57,2.34,1.3,0.216,0.092,0.124,0.25,1.37,0.295,0.769,100,108,100,4.09,4.45,-0.36,4.24,3.96
Arizona Diamondbacks,8.25,4.13,2,1.16,0.208,0.104,0.104,0.263,1.49,0.315,0.7,113,108,108,4.94,4.52,0.42,4.47,4.19
Philadelphia Phillies,8.74,3.72,2.35,1.4,0.221,0.094,0.127,0.266,1.47,0.317,0.712,122,108,105,5.05,4.57,0.48,4.34,3.98
Cincinnati Reds,8.15,4.58,1.78,1.59,0.203,0.114,0.089,0.253,1.49,0.288,0.722,120,126,116,5.09,5.34,-0.24,4.79,4.41
