Team,K/9_L,BB/9_L,K/BB_L,HR/9_L,K%_L,BB%_L,K-BB%_L,AVG_L,WHIP_L,BABIP_L,LOB%_L,ERA_L,FIP_L,E-F_L,xFIP_L,K/9_R,BB/9_R,K/BB_R,HR/9_R,K%_R,BB%_R,K-BB%_R,AVG_R,WHIP_R,BABIP_R,LOB%_R,ERA_R,FIP_R,E-F_R,xFIP_R
Arizona Diamondbacks,8.64,3.34,2.59,1,0.229,0.089,0.14,0.233,1.24,0.28,0.755,3.69,3.93,-0.24,3.79,9.08,3.13,2.9,1.11,0.24,0.083,0.158,0.243,1.26,0.295,0.758,3.75,3.91,-0.15,3.82
Atlanta Braves,8.74,4.86,1.8,0.99,0.227,0.126,0.101,0.221,1.35,0.266,0.768,3.6,4.38,-0.78,4.5,8.83,3.25,2.71,0.91,0.234,0.086,0.148,0.235,1.24,0.287,0.72,3.86,3.71,0.15,3.92
Baltimore Orioles,7.36,4.35,1.69,1.48,0.18,0.107,0.074,0.281,1.6,0.314,0.721,5.25,5.24,0.01,5.04,7.73,3.18,2.43,1.47,0.198,0.081,0.116,0.271,1.41,0.307,0.681,5.14,4.77,0.37,4.49
Boston Red Sox,9.65,3.24,2.98,0.97,0.252,0.085,0.167,0.229,1.22,0.287,0.75,3.7,3.76,-0.06,4.03,9.59,3.12,3.08,1.14,0.253,0.082,0.171,0.24,1.26,0.298,0.762,3.78,3.85,-0.07,3.87
Chicago Cubs,8.47,4.36,1.94,1.04,0.218,0.112,0.105,0.242,1.39,0.289,0.753,4,4.35,-0.35,4.39,7.94,3.48,2.28,0.91,0.21,0.092,0.118,0.238,1.27,0.282,0.767,3.45,4.02,-0.56,4.23
Chicago White Sox,7.78,4.62,1.68,1.24,0.193,0.115,0.078,0.249,1.48,0.284,0.715,4.8,4.9,-0.11,5.06,7.97,3.68,2.17,1.22,0.203,0.094,0.109,0.257,1.4,0.298,0.676,4.89,4.6,0.29,4.74
Cincinnati Reds,7.83,4.05,1.93,1.82,0.192,0.099,0.092,0.28,1.57,0.308,0.725,5.31,5.51,-0.2,4.75,7.88,2.74,2.88,1.11,0.208,0.072,0.135,0.254,1.27,0.293,0.705,4.13,4.03,0.11,3.9
Cleveland Indians,9.53,2.92,3.27,1.47,0.248,0.076,0.172,0.254,1.31,0.306,0.786,4.09,4.25,-0.16,3.86,9.54,2.17,4.4,1.03,0.26,0.059,0.201,0.232,1.11,0.29,0.735,3.5,3.38,0.12,3.48
Colorado Rockies,9.23,3.45,2.68,1.16,0.24,0.09,0.151,0.252,1.34,0.307,0.703,4.47,4.02,0.45,3.76,8.41,3.13,2.69,1.13,0.222,0.082,0.139,0.249,1.29,0.295,0.719,4.25,4.09,0.16,4.09
Detroit Tigers,7.84,3.45,2.27,1.56,0.201,0.089,0.112,0.255,1.37,0.284,0.707,4.88,4.94,-0.06,4.68,7.56,2.87,2.63,1.24,0.196,0.075,0.122,0.261,1.32,0.295,0.703,4.41,4.35,0.06,4.47
Houston Astros,11.96,3.03,3.95,0.99,0.326,0.082,0.243,0.204,1.08,0.284,0.786,3.12,3.12,-0.01,3.14,9.35,2.45,3.81,0.9,0.256,0.067,0.189,0.226,1.11,0.283,0.774,3.11,3.31,-0.2,3.51
Kansas City Royals,7.22,4.09,1.77,1.14,0.18,0.102,0.078,0.269,1.5,0.304,0.716,4.82,4.66,0.15,4.83,7.31,3,2.44,1.39,0.187,0.077,0.11,0.28,1.43,0.313,0.698,5.04,4.66,0.37,4.49
Los Angeles Angels,8.69,3.6,2.41,1.14,0.227,0.094,0.133,0.246,1.34,0.296,0.776,3.68,4.15,-0.47,4.09,8.67,3.29,2.63,1.38,0.227,0.086,0.141,0.25,1.31,0.292,0.715,4.48,4.51,-0.03,4.24
Los Angeles Dodgers,9.23,3.01,3.07,1.05,0.246,0.08,0.166,0.228,1.19,0.28,0.776,3.34,3.75,-0.4,3.73,9.72,2.32,4.19,1.11,0.263,0.063,0.2,0.231,1.13,0.287,0.754,3.43,3.51,-0.09,3.4
Miami Marlins,7.5,4.36,1.72,1.18,0.19,0.111,0.08,0.258,1.47,0.293,0.721,4.71,4.76,-0.05,4.79,8.02,3.33,2.41,1.21,0.208,0.086,0.122,0.25,1.32,0.288,0.68,4.8,4.42,0.38,4.55
Milwaukee Brewers,8.24,4.21,1.96,1.04,0.212,0.108,0.104,0.24,1.37,0.284,0.773,3.71,4.36,-0.65,4.49,9.2,2.83,3.26,1.08,0.25,0.077,0.173,0.227,1.14,0.274,0.719,3.75,3.75,0,3.71
Minnesota Twins,8.27,4.17,1.98,1.18,0.207,0.105,0.103,0.254,1.45,0.297,0.722,4.54,4.55,-0.01,4.64,8.83,3.11,2.84,1.28,0.228,0.08,0.148,0.258,1.34,0.307,0.725,4.47,4.27,0.2,4.09
New York Mets,8.56,3.22,2.66,1.16,0.223,0.084,0.139,0.25,1.31,0.296,0.742,4.2,4.15,0.05,4.26,9.16,2.81,3.26,1.13,0.243,0.074,0.168,0.244,1.23,0.295,0.721,3.98,3.84,0.14,3.87
