Date,AwayTeam,HomeTeam,A_SP_recFIP,H_SP_recFIP
10-04-2015,Kansas City Royals,Los Angeles Angels of Anaheim,nan,nan
11-04-2015,Kansas City Royals,Los Angeles Angels of Anaheim,nan,nan
12-04-2015,Kansas City Royals,Los Angeles Angels of Anaheim,nan,nan
20-04-2015,Oakland Athletics,Los Angeles Angels of Anaheim,nan,nan
21-04-2015,Oakland Athletics,Los Angeles Angels of Anaheim,nan,nan
22-04-2015,Oakland Athletics,Los Angeles Angels of Anaheim,nan,nan
23-04-2015,Oakland Athletics,Los Angeles Angels of Anaheim,-1.4749262536873153,nan
24-04-2015,Texas Rangers,Los Angeles Angels of Anaheim,nan,nan
25-04-2015,Texas Rangers,Los Angeles Angels of Anaheim,nan,nan
26-04-2015,Texas Rangers,Los Angeles Angels of Anaheim,nan,nan
04-05-2015,Seattle Mariners,Los Angeles Angels of Anaheim,-1.3454293841777507,0.9232106006299554
05-05-2015,Seattle Mariners,Los Angeles Angels of Anaheim,0.6174918603345683,nan
06-05-2015,Seattle Mariners,Los Angeles Angels of Anaheim,nan,0.13149820285789432
07-05-2015,Houston Astros,Los Angeles Angels of Anaheim,1.809253036960455,1.427551748750892
08-05-2015,Houston Astros,Los Angeles Angels of Anaheim,1.4855496533717476,2.168379372112756
09-05-2015,Houston Astros,Los Angeles Angels of Anaheim,-0.7088679379031687,2.729988667971568
10-05-2015,Houston Astros,Los Angeles Angels of Anaheim,0.39972019586289603,-0.12923235978288963
12-05-2015,Colorado Rockies,Los Angeles Angels of Anaheim,4.078719282145405,-0.04345181194055793
13-05-2015,Colorado Rockies,Los Angeles Angels of Anaheim,1.27191787044608,1.1991605875886882
25-05-2015,San Diego Padres,Los Angeles Angels of Anaheim,-0.6128028660318657,-0.03757420906289922
26-05-2015,San Diego Padres,Los Angeles Angels of Anaheim,2.614151272220286,2.966586863745186
27-05-2015,San Diego Padres,Los Angeles Angels of Anaheim,0.22508328081390117,0.16796842193667597
28-05-2015,Detroit Tigers,Los Angeles Angels of Anaheim,nan,0.7652831547672639
29-05-2015,Detroit Tigers,Los Angeles Angels of Anaheim,1.7296050735082162,0.0
30-05-2015,Detroit Tigers,Los Angeles Angels of Anaheim,0.2939159400411482,0.0
31-05-2015,Detroit Tigers,Los Angeles Angels of Anaheim,0.2519526329050139,0.603084345653485
01-06-2015,Tampa Bay Rays,Los Angeles Angels of Anaheim,0.1763253790995651,0.6718736877467039
02-06-2015,Tampa Bay Rays,Los Angeles Angels of Anaheim,-0.884407888918369,1.3357079252003563
03-06-2015,Tampa Bay Rays,Los Angeles Angels of Anaheim,-0.7494753672429301,0.450561153436553
12-06-2015,Oakland Athletics,Los Angeles Angels of Anaheim,-0.3303873792021145,1.2362212836097661
13-06-2015,Oakland Athletics,Los Angeles Angels of Anaheim,0.9993640410647772,1.8456829026739894
14-06-2015,Oakland Athletics,Los Angeles Angels of Anaheim,0.07932101213611487,-0.7268102116834743
15-06-2015,Arizona Diamondbacks,Los Angeles Angels of Anaheim,nan,2.8000344619626087
16-06-2015,Arizona Diamondbacks,Los Angeles Angels of Anaheim,1.6303776164931107,1.939579170095216
22-06-2015,Houston Astros,Los Angeles Angels of Anaheim,-0.42028579434015156,1.5717974626698104
23-06-2015,Houston Astros,Los Angeles Angels of Anaheim,3.8981003623586257,0.03966050606805743
24-06-2015,Houston Astros,Los Angeles Angels of Anaheim,0.1529519730804527,nan
26-06-2015,Seattle Mariners,Los Angeles Angels of Anaheim,-0.6190855222428583,0.30905532090244153
27-06-2015,Seattle Mariners,Los Angeles Angels of Anaheim,0.42133140724690027,0.12923235978288963
28-06-2015,Seattle Mariners,Los Angeles Angels of Anaheim,1.0318236124687736,1.9486359548316183
30-06-2015,New York Yankees,Los Angeles Angels of Anaheim,nan,nan
01-07-2015,New York Yankees,Los Angeles Angels of Anaheim,-0.6868989634070191,0.8940780477542866
17-07-2015,Boston Red Sox,Los Angeles Angels of Anaheim,0.685803860096013,0.8176614881439086
18-07-2015,Boston Red Sox,Los Angeles Angels of Anaheim,1.3942140118508193,0.20649211200132156
21-07-2015,Minnesota Twins,Los Angeles Angels of Anaheim,-0.24779053440158588,1.4544074870368027
22-07-2015,Minnesota Twins,Los Angeles Angels of Anaheim,0.8816268954978256,0.7079203797784627
23-07-2015,Minnesota Twins,Los Angeles Angels of Anaheim,nan,-0.31478712520657903
24-07-2015,Texas Rangers,Los Angeles Angels of Anaheim,1.434255575090219,nan
25-07-2015,Texas Rangers,Los Angeles Angels of Anaheim,1.7540129690655895,-1.5305663095345279
26-07-2015,Texas Rangers,Los Angeles Angels of Anaheim,3.5475167382832025,-0.04062728528479726
03-08-2015,Cleveland Indians,Los Angeles Angels of Anaheim,-0.40719626860146596,1.0896520628240773
04-08-2015,Cleveland Indians,Los Angeles Angels of Anaheim,0.22508328081390117,-0.4647380039502731
05-08-2015,Cleveland Indians,Los Angeles Angels of Anaheim,0.4164237528108604,1.4274733721313277
07-08-2015,Baltimore Orioles,Los Angeles Angels of Anaheim,0.7495627550595487,0.2775978532432682
08-08-2015,Baltimore Orioles,Los Angeles Angels of Anaheim,2.813827954519352,1.5191492764052132
09-08-2015,Baltimore Orioles,Los Angeles Angels of Anaheim,0.3028161905723226,1.6376921138825906
17-08-2015,Chicago White Sox,Los Angeles Angels of Anaheim,0.7771733096480516,1.1378252696151183
18-08-2015,Chicago White Sox,Los Angeles Angels of Anaheim,-0.08922994556973325,0.0
19-08-2015,Chicago White Sox,Los Angeles Angels of Anaheim,3.933241203359201,0.14989507344858602
20-08-2015,Chicago White Sox,Los Angeles Angels of Anaheim,-0.09085127646043428,nan
21-08-2015,Toronto Blue Jays,Los Angeles Angels of Anaheim,-0.7808229874287498,1.156657721846951
22-08-2015,Toronto Blue Jays,Los Angeles Angels of Anaheim,1.115374319621665,1.1530700490054775
04-09-2015,Texas Rangers,Los Angeles Angels of Anaheim,0.4851072086931211,0.04501665616278023
05-09-2015,Texas Rangers,Los Angeles Angels of Anaheim,0.8531729909807425,1.4476510693938545
06-09-2015,Texas Rangers,Los Angeles Angels of Anaheim,1.9034929094889126,3.3065991276206557
07-09-2015,Los Angeles Dodgers,Los Angeles Angels of Anaheim,-0.12188185585439179,nan
08-09-2015,Los Angeles Dodgers,Los Angeles Angels of Anaheim,-2.0911604168143474,0.713775874375446
09-09-2015,Los Angeles Dodgers,Los Angeles Angels of Anaheim,nan,1.1784670500612804
11-09-2015,Houston Astros,Los Angeles Angels of Anaheim,0.1189815182041723,2.3793661368611407
12-09-2015,Houston Astros,Los Angeles Angels of Anaheim,-0.5600068923925218,3.3507980991836233
13-09-2015,Houston Astros,Los Angeles Angels of Anaheim,0.25846471956577927,0.3771094560196097
25-09-2015,Seattle Mariners,Los Angeles Angels of Anaheim,0.0693769945885944,1.0880954299991943
26-09-2015,Seattle Mariners,Los Angeles Angels of Anaheim,1.6240526359623555,0.2602269178723847
27-09-2015,Seattle Mariners,Los Angeles Angels of Anaheim,-0.795967100026532,2.018774603815485
28-09-2015,Oakland Athletics,Los Angeles Angels of Anaheim,3.6385358966004127,4.558511302610217
29-09-2015,Oakland Athletics,Los Angeles Angels of Anaheim,0.9188009647410129,0.5876303804906714
30-09-2015,Oakland Athletics,Los Angeles Angels of Anaheim,nan,1.3741983842758394
06-04-2015,San Francisco Giants,Arizona Diamondbacks,nan,nan
07-04-2015,San Francisco Giants,Arizona Diamondbacks,nan,nan
08-04-2015,San Francisco Giants,Arizona Diamondbacks,nan,nan
10-04-2015,Los Angeles Dodgers,Arizona Diamondbacks,nan,nan
11-04-2015,Los Angeles Dodgers,Arizona Diamondbacks,nan,nan
12-04-2015,Los Angeles Dodgers,Arizona Diamondbacks,nan,nan
21-04-2015,Texas Rangers,Arizona Diamondbacks,nan,nan
22-04-2015,Texas Rangers,Arizona Diamondbacks,nan,nan
24-04-2015,Pittsburgh Pirates,Arizona Diamondbacks,nan,nan
26-04-2015,Pittsburgh Pirates,Arizona Diamondbacks,nan,nan
27-04-2015,Colorado Rockies,Arizona Diamondbacks,nan,nan
28-04-2015,Colorado Rockies,Arizona Diamondbacks,4.346957130008994,nan
29-04-2015,Colorado Rockies,Arizona Diamondbacks,0.27255382938130285,0.3015421728267425
07-05-2015,San Diego Padres,Arizona Diamondbacks,5.144995322731525,0.5451076587626057
08-05-2015,San Diego Padres,Arizona Diamondbacks,1.5523430678179875,-0.14841199168892846
09-05-2015,San Diego Padres,Arizona Diamondbacks,0.6925892945483328,-0.32386416211714625
10-05-2015,San Diego Padres,Arizona Diamondbacks,0.8184716119583011,0.4869734599464329
11-05-2015,Washington Nationals,Arizona Diamondbacks,-0.536879491203436,0.45428264640290744
12-05-2015,Washington Nationals,Arizona Diamondbacks,-0.6812762575224255,-0.04501665616278023
13-05-2015,Washington Nationals,Arizona Diamondbacks,-1.5755829656973082,1.3176677281212255
22-05-2015,Chicago Cubs,Arizona Diamondbacks,1.5077108641337125,4.257976609515159
23-05-2015,Chicago Cubs,Arizona Diamondbacks,-1.52451935292623,0.22888532845044635
24-05-2015,Chicago Cubs,Arizona Diamondbacks,-0.5155865788847466,2.8262844453416776
01-06-2015,Atlanta Braves,Arizona Diamondbacks,0.0,2.426145283288141
02-06-2015,Atlanta Braves,Arizona Diamondbacks,0.19830253034028716,1.977724575830124
03-06-2015,Atlanta Braves,Arizona Diamondbacks,-0.13149820285789432,0.8615490652192643
04-06-2015,New York Mets,Arizona Diamondbacks,0.12923235978288963,nan
05-06-2015,New York Mets,Arizona Diamondbacks,2.76243093922652,1.1810665939856457
06-06-2015,New York Mets,Arizona Diamondbacks,1.3097894634714269,-0.2700999369766814
07-06-2015,New York Mets,Arizona Diamondbacks,-2.1041557075223563,0.7888923950773117
17-06-2015,Los Angeles Angels of Anaheim,Arizona Diamondbacks,2.5822386886718323,0.2855239364233369
18-06-2015,Los Angeles Angels of Anaheim,Arizona Diamondbacks,1.2923235978288965,nan
19-06-2015,San Diego Padres,Arizona Diamondbacks,0.0884407888918369,1.6027151880833412
20-06-2015,San Diego Padres,Arizona Diamondbacks,-0.3122723014468617,0.6813845734532572
21-06-2015,San Diego Padres,Arizona Diamondbacks,3.0268088786393785,1.998527400862523
29-06-2015,Los Angeles Dodgers,Arizona Diamondbacks,-0.05490282200505106,nan
30-06-2015,Los Angeles Dodgers,Arizona Diamondbacks,1.6303776164931107,-0.03966050606805743
01-07-2015,Los Angeles Dodgers,Arizona Diamondbacks,-0.49558106880317176,-0.2271281911510857
02-07-2015,Colorado Rockies,Arizona Diamondbacks,1.427551748750892,-0.4851072086931211
03-07-2015,Colorado Rockies,Arizona Diamondbacks,4.346957130008994,3.854573141715048
04-07-2015,Colorado Rockies,Arizona Diamondbacks,2.5482162486259625,nan
05-07-2015,Colorado Rockies,Arizona Diamondbacks,1.8304145641634513,0.3041626835839055
17-07-2015,San Francisco Giants,Arizona Diamondbacks,nan,-0.9124880507517165
18-07-2015,San Francisco Giants,Arizona Diamondbacks,0.5878318800822964,3.541282623459784
19-07-2015,San Francisco Giants,Arizona Diamondbacks,1.6044741908865872,nan
20-07-2015,Miami Marlins,Arizona Diamondbacks,0.5876303804906714,3.7049511620074114
21-07-2015,Miami Marlins,Arizona Diamondbacks,1.1200137847850435,-0.713775874375446
22-07-2015,Miami Marlins,Arizona Diamondbacks,nan,-1.226492232215863
23-07-2015,Milwaukee Brewers,Arizona Diamondbacks,1.7230981304385287,nan
24-07-2015,Milwaukee Brewers,Arizona Diamondbacks,0.5353796734183995,nan
25-07-2015,Milwaukee Brewers,Arizona Diamondbacks,-0.40420371867421184,4.73335437046387
26-07-2015,Milwaukee Brewers,Arizona Diamondbacks,1.8384085980955973,-0.6128028660318657
07-08-2015,Cincinnati Reds,Arizona Diamondbacks,1.1918951132300362,1.8950269897783392
08-08-2015,Cincinnati Reds,Arizona Diamondbacks,nan,0.9493354651743782
