Date,AwayTeam,HomeTeam,A_SeaWinPct,A_last3WinPct,A_last5WinPct,A_last10WinPct,H_SeaWinPct,H_last3WinPct,H_last5WinPct,H_last10WinPct
07-04-2017,Seattle Mariners,Los Angeles Angels,25.0,0.0,0.0,nan,50.0,0.33,0.4,nan
08-04-2017,Seattle Mariners,Los Angeles Angels,20.0,0.33,0.2,nan,60.0,0.0,0.4,nan
09-04-2017,Seattle Mariners,Los Angeles Angels,16.67,0.0,0.2,nan,66.67,0.33,0.4,nan
11-04-2017,Texas Rangers,Los Angeles Angels,33.33,0.0,0.2,nan,71.43,0.33,0.4,nan
12-04-2017,Texas Rangers,Los Angeles Angels,28.57,0.33,0.4,nan,75.0,0.33,0.6,nan
13-04-2017,Texas Rangers,Los Angeles Angels,37.5,0.0,0.2,nan,66.67,0.33,0.6,0.6
21-04-2017,Toronto Blue Jays,Los Angeles Angels,20.0,0.33,0.2,0.2,41.18,0.0,0.2,0.1
22-04-2017,Toronto Blue Jays,Los Angeles Angels,25.0,0.0,0.2,0.2,38.89,0.0,0.2,0.1
23-04-2017,Toronto Blue Jays,Los Angeles Angels,23.53,0.33,0.4,0.3,42.11,0.0,0.0,0.1
24-04-2017,Toronto Blue Jays,Los Angeles Angels,27.78,0.0,0.2,0.3,40.0,0.33,0.2,0.2
25-04-2017,Oakland Athletics,Los Angeles Angels,52.63,0.33,0.6,0.5,42.86,0.0,0.2,0.2
26-04-2017,Oakland Athletics,Los Angeles Angels,50.0,0.0,0.4,0.5,45.45,0.33,0.4,0.3
27-04-2017,Oakland Athletics,Los Angeles Angels,47.62,0.0,0.2,0.5,47.83,0.33,0.4,0.4
05-05-2017,Houston Astros,Los Angeles Angels,65.52,0.33,0.6,0.5,50.0,0.0,0.4,0.6
06-05-2017,Houston Astros,Los Angeles Angels,66.67,0.0,0.4,0.5,48.39,0.0,0.2,0.5
07-05-2017,Houston Astros,Los Angeles Angels,64.52,0.33,0.4,0.6,50.0,0.0,0.0,0.4
11-05-2017,Detroit Tigers,Los Angeles Angels,50.0,0.33,0.2,0.5,47.22,0.33,0.2,0.3
12-05-2017,Detroit Tigers,Los Angeles Angels,51.52,0.0,0.2,0.4,45.95,0.0,0.2,0.2
13-05-2017,Detroit Tigers,Los Angeles Angels,50.0,0.33,0.4,0.4,47.37,0.0,0.2,0.2
14-05-2017,Detroit Tigers,Los Angeles Angels,51.43,0.0,0.2,0.3,46.15,0.33,0.2,0.3
15-05-2017,Chicago White Sox,Los Angeles Angels,48.57,0.33,0.2,0.2,47.5,0.0,0.2,0.3
16-05-2017,Chicago White Sox,Los Angeles Angels,47.22,0.33,0.4,0.2,48.78,0.33,0.4,0.3
17-05-2017,Chicago White Sox,Los Angeles Angels,45.95,0.0,0.4,0.2,50.0,0.33,0.4,0.4
29-05-2017,Atlanta Braves,Los Angeles Angels,43.75,0.0,0.2,0.4,49.06,0.33,0.2,0.4
30-05-2017,Atlanta Braves,Los Angeles Angels,44.9,0.0,0.2,0.3,48.15,0.0,0.2,0.4
31-05-2017,Atlanta Braves,Los Angeles Angels,44.0,0.33,0.2,0.4,49.09,0.0,0.2,0.3
01-06-2017,Minnesota Twins,Los Angeles Angels,53.06,0.0,0.0,0.4,50.0,0.33,0.2,0.3
02-06-2017,Minnesota Twins,Los Angeles Angels,54.0,0.0,0.0,0.3,49.12,0.33,0.4,0.3
03-06-2017,Minnesota Twins,Los Angeles Angels,54.9,0.33,0.2,0.3,48.28,0.0,0.4,0.3
04-06-2017,Minnesota Twins,Los Angeles Angels,53.85,0.33,0.4,0.3,49.15,0.0,0.2,0.3
12-06-2017,New York Yankees,Los Angeles Angels,61.67,0.33,0.6,0.5,50.0,0.0,0.4,0.4
13-06-2017,New York Yankees,Los Angeles Angels,62.3,0.33,0.6,0.6,49.25,0.33,0.4,0.5
14-06-2017,New York Yankees,Los Angeles Angels,61.29,0.33,0.6,0.6,50.0,0.0,0.2,0.4
15-06-2017,Kansas City Royals,Los Angeles Angels,46.88,0.33,0.6,0.5,50.72,0.33,0.4,0.5
16-06-2017,Kansas City Royals,Los Angeles Angels,47.69,0.33,0.6,0.6,50.0,0.33,0.4,0.5
17-06-2017,Kansas City Royals,Los Angeles Angels,48.48,0.33,0.6,0.6,49.3,0.0,0.4,0.5
18-06-2017,Kansas City Royals,Los Angeles Angels,47.76,0.33,0.6,0.6,50.0,0.0,0.2,0.4
28-06-2017,Los Angeles Dodgers,Los Angeles Angels,65.82,0.0,0.4,0.7,50.62,0.33,0.6,0.5
29-06-2017,Los Angeles Dodgers,Los Angeles Angels,65.0,0.33,0.4,0.7,51.22,0.0,0.4,0.5
30-06-2017,Seattle Mariners,Los Angeles Angels,48.75,0.0,0.0,0.5,50.6,0.33,0.4,0.5
01-07-2017,Seattle Mariners,Los Angeles Angels,49.38,0.0,0.0,0.4,50.0,0.0,0.2,0.5
02-07-2017,Seattle Mariners,Los Angeles Angels,48.78,0.33,0.2,0.4,50.59,0.0,0.2,0.4
14-07-2017,Tampa Bay Rays,Los Angeles Angels,52.22,0.33,0.4,0.5,48.91,0.0,0.2,0.2
15-07-2017,Tampa Bay Rays,Los Angeles Angels,52.75,0.33,0.4,0.5,48.39,0.33,0.2,0.3
16-07-2017,Tampa Bay Rays,Los Angeles Angels,53.26,0.33,0.6,0.5,47.87,0.0,0.2,0.2
18-07-2017,Washington Nationals,Los Angeles Angels,60.87,0.33,0.6,0.6,48.42,0.0,0.2,0.2
19-07-2017,Washington Nationals,Los Angeles Angels,61.29,0.33,0.6,0.6,47.92,0.33,0.2,0.3
21-07-2017,Boston Red Sox,Los Angeles Angels,55.67,0.33,0.4,0.4,48.45,0.0,0.2,0.3
22-07-2017,Boston Red Sox,Los Angeles Angels,56.12,0.0,0.4,0.4,47.96,0.33,0.4,0.3
23-07-2017,Boston Red Sox,Los Angeles Angels,55.56,0.33,0.4,0.4,48.48,0.0,0.2,0.3
01-08-2017,Philadelphia Phillies,Los Angeles Angels,37.86,0.33,0.6,0.5,48.11,0.33,0.4,0.4
02-08-2017,Philadelphia Phillies,Los Angeles Angels,37.5,0.33,0.6,0.6,48.6,0.0,0.4,0.4
03-08-2017,Philadelphia Phillies,Los Angeles Angels,37.14,0.0,0.4,0.5,49.07,0.33,0.4,0.4
04-08-2017,Oakland Athletics,Los Angeles Angels,44.04,0.33,0.4,0.4,49.54,0.33,0.4,0.4
05-08-2017,Oakland Athletics,Los Angeles Angels,43.64,0.0,0.2,0.4,50.0,0.33,0.6,0.5
06-08-2017,Oakland Athletics,Los Angeles Angels,44.14,0.0,0.2,0.4,49.55,0.33,0.6,0.6
07-08-2017,Baltimore Orioles,Los Angeles Angels,49.55,0.33,0.2,0.6,49.11,0.0,0.4,0.6
