Date,AwayTeam,HomeTeam,A_SP_Hand,H_SP_Hand
28-07-2020,Seattle Mariners,Los Angeles Angels,L,L
29-07-2020,Seattle Mariners,Los Angeles Angels,R,L
30-07-2020,Seattle Mariners,Los Angeles Angels,L,R
31-07-2020,Houston Astros,Los Angeles Angels,R,R
01-08-2020,Houston Astros,Los Angeles Angels,R,R
02-08-2020,Houston Astros,Los Angeles Angels,R,R
10-08-2020,Oakland Athletics,Los Angeles Angels,L,R
11-08-2020,Oakland Athletics,Los Angeles Angels,R,R
12-08-2020,Oakland Athletics,Los Angeles Angels,R,R
14-08-2020,Los Angeles Dodgers,Los Angeles Angels,L,L
15-08-2020,Los Angeles Dodgers,Los Angeles Angels,R,L
16-08-2020,Los Angeles Dodgers,Los Angeles Angels,R,R
17-08-2020,San Francisco Giants,Los Angeles Angels,L,R
18-08-2020,San Francisco Giants,Los Angeles Angels,R,R
28-08-2020,Seattle Mariners,Los Angeles Angels,L,L
29-08-2020,Seattle Mariners,Los Angeles Angels,L,R
30-08-2020,Seattle Mariners,Los Angeles Angels,R,R
31-08-2020,Seattle Mariners,Los Angeles Angels,L,R
02-09-2020,San Diego Padres,Los Angeles Angels,R,R
03-09-2020,San Diego Padres,Los Angeles Angels,R,L
04-09-2020,Houston Astros,Los Angeles Angels,R,R
06-09-2020,Houston Astros,Los Angeles Angels,L,R
15-09-2020,Arizona Diamondbacks,Los Angeles Angels,L,R
16-09-2020,Arizona Diamondbacks,Los Angeles Angels,L,R
17-09-2020,Arizona Diamondbacks,Los Angeles Angels,L,R
18-09-2020,Texas Rangers,Los Angeles Angels,R,R
19-09-2020,Texas Rangers,Los Angeles Angels,R,L
20-09-2020,Texas Rangers,Los Angeles Angels,R,R
21-09-2020,Texas Rangers,Los Angeles Angels,R,R
30-07-2020,Los Angeles Dodgers,Arizona Diamondbacks,R,L
31-07-2020,Los Angeles Dodgers,Arizona Diamondbacks,R,R
01-08-2020,Los Angeles Dodgers,Arizona Diamondbacks,L,R
02-08-2020,Los Angeles Dodgers,Arizona Diamondbacks,L,R
04-08-2020,Houston Astros,Arizona Diamondbacks,R,L
05-08-2020,Houston Astros,Arizona Diamondbacks,R,L
06-08-2020,Houston Astros,Arizona Diamondbacks,R,R
14-08-2020,San Diego Padres,Arizona Diamondbacks,R,R
15-08-2020,San Diego Padres,Arizona Diamondbacks,R,L
16-08-2020,San Diego Padres,Arizona Diamondbacks,R,L
17-08-2020,Oakland Athletics,Arizona Diamondbacks,R,R
18-08-2020,Oakland Athletics,Arizona Diamondbacks,R,R
24-08-2020,Colorado Rockies,Arizona Diamondbacks,R,R
25-08-2020,Colorado Rockies,Arizona Diamondbacks,R,L
26-08-2020,Colorado Rockies,Arizona Diamondbacks,R,L
28-08-2020,San Francisco Giants,Arizona Diamondbacks,L,R
29-08-2020,San Francisco Giants,Arizona Diamondbacks,R,R
30-08-2020,San Francisco Giants,Arizona Diamondbacks,R,R
08-09-2020,Los Angeles Dodgers,Arizona Diamondbacks,R,R
09-09-2020,Los Angeles Dodgers,Arizona Diamondbacks,L,R
10-09-2020,Los Angeles Dodgers,Arizona Diamondbacks,R,L
11-09-2020,Seattle Mariners,Arizona Diamondbacks,L,L
12-09-2020,Seattle Mariners,Arizona Diamondbacks,L,R
13-09-2020,Seattle Mariners,Arizona Diamondbacks,R,R
22-09-2020,Texas Rangers,Arizona Diamondbacks,R,L
23-09-2020,Texas Rangers,Arizona Diamondbacks,L,L
26-09-2020,Colorado Rockies,Arizona Diamondbacks,R,R
27-09-2020,Colorado Rockies,Arizona Diamondbacks,L,L
29-07-2020,Tampa Bay Rays,Atlanta Braves,R,R
30-07-2020,Tampa Bay Rays,Atlanta Braves,L,L
31-07-2020,New York Mets,Atlanta Braves,R,L
01-08-2020,New York Mets,Atlanta Braves,R,R
02-08-2020,New York Mets,Atlanta Braves,L,R
03-08-2020,New York Mets,Atlanta Braves,R,R
04-08-2020,Toronto Blue Jays,Atlanta Braves,R,L
05-08-2020,Toronto Blue Jays,Atlanta Braves,L,L
06-08-2020,Toronto Blue Jays,Atlanta Braves,R,R
