Date,AwayTeam,HomeTeam,AwayScore,HomeScore
Wednesday April 10 2019,Minnesota Twins,New York Mets,6,9
Monday April 22 2019,Philadelphia Phillies,New York Mets,1,5
Tuesday April 23 2019,Philadelphia Phillies,New York Mets,0,9
Wednesday April 24 2019,Philadelphia Phillies,New York Mets,6,0
Friday April 26 2019,Milwaukee Brewers,New York Mets,10,2
Saturday April 27 2019,Milwaukee Brewers,New York Mets,8,6
Sunday April 28 2019,Milwaukee Brewers,New York Mets,2,5
Monday April 29 2019,Cincinnati Reds,New York Mets,5,4
Tuesday April 30 2019,Cincinnati Reds,New York Mets,3,4
Friday May 10 2019,Miami Marlins,New York Mets,2,11
Saturday May 11 2019,Miami Marlins,New York Mets,1,4
Monday May 20 2019,Washington Nationals,New York Mets,3,5
Tuesday May 21 2019,Washington Nationals,New York Mets,5,6
Wednesday May 22 2019,Washington Nationals,New York Mets,1,6
Thursday May 23 2019,Washington Nationals,New York Mets,4,6
Friday May 24 2019,Detroit Tigers,New York Mets,9,8
Saturday May 25 2019,Detroit Tigers,New York Mets,4,5
Sunday May 26 2019,Detroit Tigers,New York Mets,3,4
