ParkYear,Park,Park_RunsFactor,Park_HRFactor,Park_HFactor,Park_2BFactor,Park_3BFactor,Park_BBFactor
2020,Toronto Blue Jays,1.5,1.657,1.259,0.952,0.667,1.08
2020,Colorado Rockies,1.397,1.147,1.287,1.093,2.5,0.735
2020,Boston Red Sox,1.272,1.011,1.229,1.652,1.333,1.023
2020,Cincinnati Reds,1.271,2.14,1.076,0.937,0.625,0.982
2020,Los Angeles Angels,1.236,1.352,1.163,1.16,1,1.137
2020,New York Yankees,1.159,1.565,1.124,0.957,1.6,0.976
2020,Arizona Diamondbacks,1.12,0.936,1.037,0.991,2.286,1.178
2020,Cleveland Indians,1.106,0.896,1.09,1.157,1.333,0.941
2020,Atlanta Braves,1.072,0.955,1.051,0.931,0.625,1.106
2020,Pittsburgh Pirates,1.068,0.878,1.066,1.378,0.286,1.08
2020,Chicago White Sox,1.06,1.227,0.933,0.77,0,1.106
2020,San Francisco Giants,1.048,1.083,1.07,1.372,1.154,1.143
2020,Kansas City Royals,1.047,0.87,1.137,1.058,0.714,0.925
2020,Milwaukee Brewers,1.036,1.152,0.984,0.804,0.667,0.981
2020,Texas Rangers,1,0.857,1.016,0.918,1,1.277
2020,New York Mets,0.987,1.257,0.938,1.009,0.5,0.981
2020,Philadelphia Phillies,0.971,1.314,1.004,0.953,2.6,1.06
2020,St. Louis Cardinals,0.97,0.965,1.007,0.778,1.12,1.141
2020,Tampa Bay Rays,0.955,0.829,0.94,0.979,1.25,1.13
2020,Los Angeles Dodgers,0.938,1.165,0.985,0.886,0.625,0.913
2020,Minnesota Twins,0.936,0.821,0.908,1.081,1.667,1.011
2020,San Diego Padres,0.899,1.171,0.854,1.067,0.286,0.968
2020,Detroit Tigers,0.888,0.791,0.924,1.134,5.714,0.981
2020,Seattle Mariners,0.888,1.044,0.879,0.869,0.25,0.925
2020,Baltimore Orioles,0.875,1,0.874,0.612,0.545,1.145
2020,Washington Nationals,0.845,0.778,0.875,0.936,0.636,1.04
2020,Miami Marlins,0.817,0.753,0.944,1.187,0.714,0.745
2020,Houston Astros,0.776,0.716,0.799,0.761,0.846,0.868
2020,Oakland Athletics,0.775,0.628,0.946,0.956,0.75,0.938
2020,Chicago Cubs,0.741,0.741,0.931,1.024,1.8,0.868
2019,Colorado Rockies,1.394,1.266,1.3,1.314,2.148,1.093
2019,Texas Rangers,1.245,1.062,1.142,1.09,1.545,1.092
2019,Detroit Tigers,1.107,1.086,1.111,0.928,2.011,0.973
2019,Washington Nationals,1.101,1.267,1.097,1.169,0.957,1.016
2019,Baltimore Orioles,1.088,1.262,1.063,1.157,0.931,0.93
2019,Miami Marlins,1.087,0.828,1.018,1.022,2,1.057
2019,Houston Astros,1.083,1.195,1.024,0.866,0.815,0.969
2019,Kansas City Royals,1.074,0.741,1.086,1.205,1.345,0.937
2019,Boston Red Sox,1.063,0.878,1.01,1.38,1.12,1.108
2019,Philadelphia Phillies,1.047,1.17,1.028,0.886,0.96,1.026
2019,Cincinnati Reds,1.038,1.13,1.027,1.029,0.437,1.052
2019,Toronto Blue Jays,1.031,1.317,0.993,0.918,0.913,0.988
2019,Los Angeles Angels,1.018,1.081,1.009,1.022,0.815,1.028
2019,Pittsburgh Pirates,1.004,0.906,0.997,1.281,1,1.161
2019,Atlanta Braves,1.003,1.018,0.998,1.137,0.926,0.995
2019,Arizona Diamondbacks,0.977,0.888,0.998,1.003,1.654,0.959
2019,Milwaukee Brewers,0.976,1.03,0.913,0.899,0.828,0.992
2019,Minnesota Twins,0.975,0.87,1.007,1.151,1.091,1.092
2019,Cleveland Indians,0.972,1.048,0.952,1.037,0.583,0.979
2019,Chicago White Sox,0.966,1.238,0.926,0.809,0.349,1.078
2019,Seattle Mariners,0.952,0.934,0.946,0.827,0.486,1.006
2019,Chicago Cubs,0.931,0.871,0.969,0.938,1.429,0.988
2019,St. Louis Cardinals,0.917,0.831,0.943,0.871,0.955,0.934
2019,Los Angeles Dodgers,0.905,1.128,0.987,0.898,0.333,0.833
2019,Tampa Bay Rays,0.895,0.904,0.935,0.975,1.2,0.955
2019,New York Mets,0.891,1,0.889,0.841,0.5,0.95
2019,San Diego Padres,0.86,0.871,0.908,0.885,0.704,1.049
2019,New York Yankees,0.816,0.865,0.88,0.729,0.591,0.901
2019,San Francisco Giants,0.798,0.691,0.941,0.826,1.423,0.886
2019,Oakland Athletics,0.775,0.628,0.946,0.956,0.75,0.938
2018,Texas Rangers,1.352,1.273,1.171,1.165,1.957,1.096
2018,Colorado Rockies,1.271,1.28,1.233,1.475,2.025,1.005
2018,Washington Nationals,1.134,1.173,1.084,1.219,0.821,1.051
2018,Cincinnati Reds,1.128,1.395,1.023,1.038,1.364,1.16
2018,Cleveland Indians,1.128,1.019,1.031,1.04,1,1.027
2018,New York Yankees,1.126,1.166,1.103,0.912,0.714,1.14
2018,Atlanta Braves,1.12,0.802,1.011,0.979,0.774,1.014
2018,Chicago Cubs,1.079,1.025,0.996,1.007,1.199,1.039
2018,Boston Red Sox,1.078,0.969,1.057,1.366,1.276,0.91
2018,Kansas City Royals,1.06,0.895,1.037,1.123,1.321,1.072
2018,Arizona Diamondbacks,1.057,0.955,1.033,0.962,2.136,1.069
2018,Philadelphia Phillies,1.042,1.19,0.98,0.967,0.879,0.943
2018,San Diego Padres,1.032,0.983,1.028,1.09,1,1.25
2018,San Francisco Giants,1.012,0.752,1.008,1.06,1.483,1.025
2018,Milwaukee Brewers,1.011,1.116,0.952,0.929,0.893,1.012
2018,Minnesota Twins,1.004,0.916,1.019,1.125,0.92,1.016
2018,Houston Astros,0.987,1.04,0.948,0.858,0.857,0.992
2018,Baltimore Orioles,0.982,1.121,0.997,0.847,0.69,0.978
2018,Los Angeles Angels,0.969,1.138,0.918,0.898,0.615,1.019
2018,Toronto Blue Jays,0.958,1.125,0.984,1.087,0.92,0.989
2018,Detroit Tigers,0.945,0.867,0.995,1.029,1.3,0.931
2018,Chicago White Sox,0.943,0.969,1.007,0.837,0.778,0.905
2018,Tampa Bay Rays,0.926,0.88,0.921,0.817,1.172,0.994
2018,St. Louis Cardinals,0.926,0.856,0.979,0.907,0.75,0.857
2018,Pittsburgh Pirates,0.88,0.849,0.991,1.081,0.693,1.075
2018,Los Angeles Dodgers,0.872,1.057,0.939,1.003,0.285,0.808
2018,Seattle Mariners,0.846,0.984,0.911,0.799,0.833,0.939
2018,Miami Marlins,0.747,0.65,0.941,0.885,0.732,0.988
2018,New York Mets,0.731,0.888,0.84,0.643,0.758,0.862
2018,Oakland Athletics,0.775,0.628,0.946,0.956,0.75,0.938
2017,Colorado Rockies,1.332,1.195,1.152,1.175,2.259,1.085
2017,Texas Rangers,1.215,1.127,1.135,1.185,1,1.184
2017,Arizona Diamondbacks,1.202,1.222,1.088,1.351,1.355,1.026
2017,Detroit Tigers,1.169,1.154,1.119,1.129,1.333,0.987
2017,Chicago Cubs,1.131,1.005,1.049,1.104,1.3,1.074
2017,Minnesota Twins,1.095,1.172,1.088,1.081,1.375,1.118
2017,Milwaukee Brewers,1.094,1.049,1.033,1.155,0.763,1.032
2017,Philadelphia Phillies,1.073,1.409,0.999,0.943,1.065,1.067
2017,Washington Nationals,1.057,1.04,1.11,1.075,0.636,0.964
2017,Boston Red Sox,1.026,0.824,1.103,1.156,0.75,0.958
2017,Baltimore Orioles,1.026,1.236,1.034,0.918,0.706,1.097
2017,Cincinnati Reds,1.02,1.094,0.94,1.007,1.222,1.044
