Team,Park_1B_L,Park_1B_R,Park_2B_L,Park_2B_R,Park_3B_L,Park_3B_R,Park_HR_L,Park_HR_R
Los Angeles Angels,101,98,97,96,91,85,107,101
Baltimore Orioles,102,101,98,95,91,90,104,108
Boston Red Sox,102,102,126,108,113,102,94,100
Chicago White Sox,96,101,89,97,95,83,108,105
Cleveland Indians,101,100,107,101,87,86,104,98
Detroit Tigers,102,102,98,102,134,127,104,101
Kansas City Royals,106,101,105,108,113,113,91,93
Minnesota Twins,102,101,102,108,112,100,97,101
New York Yankees,98,101,93,93,80,95,109,106
Oakland Athletics,96,98,99,103,99,103,90,94
Seattle Mariners,97,98,94,94,79,90,98,101
Tampa Bay Rays,99,96,93,96,106,104,95,94
Texas Rangers,112,99,107,94,108,97,99,95
Toronto Blue Jays,99,96,102,103,101,96,104,102
Arizona Diamondbacks,103,100,101,99,149,120,100,96
Atlanta Braves,100,103,101,103,89,94,99,96
Chicago Cubs,100,99,101,99,104,120,91,100
Cincinnati Reds,99,97,95,104,95,92,112,108
Colorado Rockies,107,108,108,117,137,137,109,111
Miami Marlins,98,99,90,100,105,92,92,89
Houston Astros,99,97,95,92,105,87,99,100
Los Angeles Dodgers,96,98,98,96,70,76,101,101
Milwaukee Brewers,97,97,97,100,96,92,104,103
Washington Nationals,103,103,110,100,90,93,103,106
New York Mets,96,94,91,93,86,79,96,100
Philadelphia Phillies,96,100,96,96,100,100,109,110
Pittsburgh Pirates,100,101,106,105,90,104,98,91
St. Louis Cardinals,101,101,99,94,88,96,99,92
San Diego Padres,99,98,102,97,81,102,93,98
San Francisco Giants,100,103,103,99,124,103,85,90
