Player,ISO_zips,BABIP_zips,OBP_zips,SLG_zips
Corey Seager,0.188,0.308,0.327,0.468
Justin Turner,0.184,0.31,0.343,0.462
Joc Pederson,0.208,0.293,0.342,0.436
Yasmani Grandal,0.215,0.269,0.34,0.445
Yasiel Puig,0.189,0.322,0.344,0.464
Austin Barnes,0.131,0.278,0.314,0.375
Adrian Gonzalez,0.175,0.298,0.333,0.445
Chris Taylor,0.116,0.319,0.31,0.369
Trayce Thompson,0.197,0.279,0.281,0.423
Cody Bellinger,0.22,0.286,0.302,0.452
Rob Segedin,0.192,0.289,0.309,0.439
Andrew Toles,0.129,0.322,0.292,0.388
Willie Calhoun,0.167,0.275,0.308,0.427
Alex Verdugo,0.142,0.289,0.3,0.402
Chase Utley,0.138,0.273,0.298,0.372
Scott Van Slyke,0.163,0.309,0.326,0.413
Zach Walters,0.224,0.278,0.271,0.456
Tim Locastro,0.1,0.286,0.305,0.35
Edwin Rios,0.168,0.321,0.28,0.414
Johan Mieses,0.18,0.287,0.26,0.391
Kike Hernandez,0.136,0.276,0.295,0.373
Kyle Farmer,0.113,0.268,0.266,0.337
Andre Ethier,0.143,0.3,0.327,0.4
Jack Murphy,0.08,0.277,0.272,0.289
Charlie Culberson,0.125,0.282,0.257,0.347
Corey Brown,0.188,0.288,0.257,0.397
Brandon Hicks,0.138,0.286,0.26,0.322
Tyler Holt,0.063,0.301,0.299,0.295
Drew Maggi,0.072,0.281,0.281,0.292
Carl Crawford,0.129,0.292,0.297,0.389
Darin Ruf,0.19,0.274,0.292,0.428
Bobby Wilson,0.088,0.272,0.264,0.307
Lars Anderson,0.123,0.28,0.301,0.349
Micah Johnson,0.103,0.296,0.283,0.34
Yusniel Diaz,0.143,0.286,0.275,0.37
Rico Noel,0.055,0.299,0.274,0.267
Will Venable,0.122,0.285,0.288,0.352
Darnell Sweeney,0.133,0.29,0.276,0.352
Alex Hassan,0.08,0.304,0.297,0.315
Matt Beaty,0.106,0.281,0.288,0.351
Henry Ramos,0.12,0.286,0.274,0.352
Jacob Scavuzzo,0.141,0.301,0.283,0.38
Erick Mejia,0.08,0.296,0.27,0.308
Stetson Allie,0.172,0.282,0.263,0.365
Josmar Cordero,0.116,0.29,0.263,0.341
Paul Goldschmidt,0.224,0.341,0.403,0.514
A.J. Pollock,0.175,0.316,0.342,0.463
Jake Lamb,0.205,0.312,0.323,0.451
Ketel Marte,0.101,0.327,0.327,0.389
David Peralta,0.195,0.335,0.344,0.481
Welington Castillo,0.17,0.307,0.314,0.425
Chris Owings,0.131,0.324,0.301,0.394
Nick Ahmed,0.111,0.276,0.286,0.349
Ildemaro Vargas,0.096,0.279,0.299,0.356
Dawel Lugo,0.136,0.294,0.284,0.397
Kris Negron,0.122,0.292,0.275,0.347
Oscar Hernandez,0.166,0.284,0.293,0.407
Phil Gosselin,0.118,0.322,0.312,0.391
Travis Denker,0.178,0.273,0.306,0.415
Chris Herrmann,0.146,0.3,0.297,0.381
Todd Glaesmann,0.182,0.298,0.27,0.42
Domingo Leyba,0.111,0.292,0.285,0.357
Yasmany Tomas,0.2,0.314,0.307,0.47
