Player,OBP_zips,SLG_zips,ISO_zips,BABIP_zips
Manny Machado,0.333,0.498,0.22,0.29
Jonathan Schoop,0.307,0.474,0.211,0.291
Adam Jones,0.306,0.458,0.189,0.286
Austin Hays,0.31,0.468,0.188,0.315
Trey Mancini,0.319,0.473,0.205,0.32
Tim Beckham,0.303,0.435,0.18,0.32
Chris Davis,0.318,0.459,0.236,0.3
Seth Smith,0.345,0.447,0.188,0.298
Chance Sisco,0.312,0.394,0.147,0.321
Mark Trumbo,0.301,0.47,0.224,0.279
Caleb Joseph,0.268,0.365,0.141,0.276
Austin Wynns,0.293,0.347,0.109,0.287
Francisco Pena,0.274,0.38,0.137,0.273
Cedric Mullins,0.282,0.414,0.171,0.281
Mike Yastrzemski,0.286,0.388,0.162,0.289
Johnny Giavotella,0.312,0.375,0.108,0.289
Ryan Flaherty,0.302,0.342,0.126,0.263
Chris Dickerson,0.296,0.352,0.139,0.294
Ademar Rifaela,0.287,0.413,0.176,0.305
J.J. Hardy,0.274,0.33,0.099,0.269
Audry Perez,0.278,0.353,0.103,0.287
Ruben Tejada,0.322,0.349,0.1,0.282
Pedro Alvarez,0.301,0.464,0.222,0.283
Anthony Santander,0.305,0.436,0.185,0.297
Paul Janish,0.277,0.266,0.048,0.258
Sharlon Schoop,0.262,0.333,0.121,0.262
Ryan Mountcastle,0.271,0.408,0.16,0.294
Robert Andino,0.256,0.338,0.122,0.277
Logan Schafer,0.282,0.319,0.094,0.27
Angelo Mora,0.272,0.335,0.104,0.298
DJ Stewart,0.305,0.362,0.141,0.276
David Washington,0.273,0.433,0.22,0.316
Alex Castellanos,0.261,0.369,0.167,0.278
Joey Rickard,0.296,0.336,0.098,0.294
Chris Johnson,0.272,0.357,0.121,0.323
Luis Sardinas,0.286,0.329,0.076,0.297
Craig Gentry,0.279,0.282,0.066,0.274
Drew Dosch,0.275,0.332,0.106,0.295
Jaycob Brugman,0.293,0.35,0.121,0.284
Stevie Wilkerson,0.273,0.289,0.074,0.3
Adrian Marin,0.259,0.298,0.075,0.292
Glynn Davis,0.26,0.303,0.084,0.303
Aderlin Rodriguez,0.278,0.389,0.152,0.294
Jomar Reyes,0.269,0.354,0.114,0.293
Randolph Gassaway,0.276,0.339,0.096,0.294
Jay Gonzalez,0.279,0.235,0.034,0.308
Garabez Rosa,0.26,0.332,0.091,0.309
Mookie Betts,0.362,0.493,0.197,0.308
Xander Bogaerts,0.347,0.434,0.149,0.333
Andrew Benintendi,0.354,0.456,0.174,0.311
Rafael Devers,0.324,0.487,0.213,0.321
Jackie Bradley Jr.,0.33,0.434,0.179,0.312
Dustin Pedroia,0.346,0.393,0.109,0.303
Eduardo Nunez,0.319,0.427,0.139,0.313
Sandy Leon,0.305,0.371,0.129,0.298
Hanley Ramirez,0.342,0.443,0.181,0.299
Christian Vazquez,0.305,0.363,0.107,0.31
Mitch Moreland,0.32,0.433,0.181,0.296
Rusney Castillo,0.307,0.41,0.136,0.312
Michael Chavis,0.29,0.422,0.183,0.302
Matt Dominguez,0.285,0.398,0.146,0.277
Brock Holt,0.333,0.368,0.104,0.32
Tzu-Wei Lin,0.295,0.345,0.104,0.294
Esteban Quiroz,0.318,0.388,0.141,0.282
Chris B. Young,0.319,0.407,0.169,0.281
Bryce Brentz,0.307,0.439,0.185,0.31
Blake Swihart,0.288,0.338,0.11,0.299
Dan Butler,0.303,0.338,0.104,0.296
Sam Travis,0.322,0.375,0.119,0.315
Jake Romanski,0.269,0.326,0.08,0.289
Rajai Davis,0.294,0.361,0.117,0.301
Ryan Court,0.295,0.344,0.118,0.324
Deven Marrero,0.27,0.332,0.109,0.302
Jhonny Peralta,0.31,0.39,0.137,0.3
Ivan De Jesus,0.301,0.336,0.094,0.308
Chad de la Guerra,0.286,0.343,0.114,0.301
Jeremy Barfield,0.284,0.406,0.182,0.275
Aneury Tavarez,0.287,0.367,0.127,0.303
