Date,HomeOdds,OverUnder,AwayTeam,HomeTeam
20-03-2019,-130,8.5,Seattle Mariners,Oakland Athletics
21-03-2019,115,9,Seattle Mariners,Oakland Athletics
28-03-2019,-125,6.5,New York Mets,Washington Nationals
28-03-2019,-114,8.5,St. Louis Cardinals,Milwaukee Brewers
28-03-2019,-185,8,Atlanta Braves,Philadelphia Phillies
28-03-2019,-117,8.5,Pittsburgh Pirates,Cincinnati Reds
28-03-2019,-165,7,Arizona Diamondbacks,Los Angeles Dodgers
28-03-2019,-127,7.5,San Francisco Giants,San Diego Padres
28-03-2019,125,7.5,Colorado Rockies,Miami Marlins
28-03-2019,-380,9,Baltimore Orioles,New York Yankees
28-03-2019,-142,8.5,Detroit Tigers,Toronto Blue Jays
28-03-2019,118,7,Houston Astros,Tampa Bay Rays
28-03-2019,-102,8.5,Los Angeles Angels,Oakland Athletics
28-03-2019,-117,7.5,Cleveland Indians,Minnesota Twins
28-03-2019,-116,8.5,Chicago White Sox,Kansas City Royals
28-03-2019,190,7,Boston Red Sox,Seattle Mariners
28-03-2019,105,9.5,Chicago Cubs,Texas Rangers
29-03-2019,142,7,Colorado Rockies,Miami Marlins
29-03-2019,-102,8.5,St. Louis Cardinals,Milwaukee Brewers
29-03-2019,-155,7.5,San Francisco Giants,San Diego Padres
29-03-2019,-170,7,Arizona Diamondbacks,Los Angeles Dodgers
29-03-2019,-121,9,Detroit Tigers,Toronto Blue Jays
29-03-2019,128,7,Houston Astros,Tampa Bay Rays
29-03-2019,-101,8.5,Los Angeles Angels,Oakland Athletics
29-03-2019,129,8,Boston Red Sox,Seattle Mariners
30-03-2019,-112,7.5,New York Mets,Washington Nationals
30-03-2019,-145,9,Atlanta Braves,Philadelphia Phillies
30-03-2019,118,7.5,Colorado Rockies,Miami Marlins
30-03-2019,-132,9,St. Louis Cardinals,Milwaukee Brewers
30-03-2019,-130,7.5,San Francisco Giants,San Diego Padres
30-03-2019,-194,7.5,Arizona Diamondbacks,Los Angeles Dodgers
30-03-2019,-410,8.5,Baltimore Orioles,New York Yankees
30-03-2019,110,7,Cleveland Indians,Minnesota Twins
30-03-2019,-130,7.5,Chicago White Sox,Kansas City Royals
30-03-2019,-126,8.5,Detroit Tigers,Toronto Blue Jays
30-03-2019,108,8,Houston Astros,Tampa Bay Rays
30-03-2019,-119,8.5,Los Angeles Angels,Oakland Athletics
30-03-2019,148,8.5,Boston Red Sox,Seattle Mariners
30-03-2019,145,9.5,Chicago Cubs,Texas Rangers
31-03-2019,-135,8,Pittsburgh Pirates,Cincinnati Reds
31-03-2019,148,7.5,Colorado Rockies,Miami Marlins
31-03-2019,-165,7,New York Mets,Washington Nationals
31-03-2019,-110,9,St. Louis Cardinals,Milwaukee Brewers
31-03-2019,-194,7.5,Arizona Diamondbacks,Los Angeles Dodgers
31-03-2019,-174,7.5,San Francisco Giants,San Diego Padres
31-03-2019,-140,8,Atlanta Braves,Philadelphia Phillies
31-03-2019,-320,8.5,Baltimore Orioles,New York Yankees
31-03-2019,-152,9,Detroit Tigers,Toronto Blue Jays
31-03-2019,103,8.5,Houston Astros,Tampa Bay Rays
31-03-2019,100,7,Cleveland Indians,Minnesota Twins
31-03-2019,-127,8,Chicago White Sox,Kansas City Royals
31-03-2019,-124,8.5,Los Angeles Angels,Oakland Athletics
31-03-2019,126,8,Boston Red Sox,Seattle Mariners
31-03-2019,120,8.5,Chicago Cubs,Texas Rangers
01-04-2019,-126,7.5,St. Louis Cardinals,Pittsburgh Pirates
01-04-2019,-101,8.5,Milwaukee Brewers,Cincinnati Reds
01-04-2019,-110,8,Chicago Cubs,Atlanta Braves
01-04-2019,115,7.5,New York Mets,Miami Marlins
01-04-2019,-205,7.5,San Francisco Giants,Los Angeles Dodgers
01-04-2019,-165,7.5,Arizona Diamondbacks,San Diego Padres
01-04-2019,-160,7.5,Chicago White Sox,Cleveland Indians
01-04-2019,-210,8.5,Detroit Tigers,New York Yankees
01-04-2019,-176,9,Baltimore Orioles,Toronto Blue Jays
01-04-2019,155,9.5,Houston Astros,Texas Rangers
01-04-2019,130,9,Boston Red Sox,Oakland Athletics
01-04-2019,-107,9,Los Angeles Angels,Seattle Mariners
01-04-2019,-145,8.5,Colorado Rockies,Tampa Bay Rays
02-04-2019,100,9,Milwaukee Brewers,Cincinnati Reds
02-04-2019,-180,7,Philadelphia Phillies,Washington Nationals
02-04-2019,126,8,New York Mets,Miami Marlins
02-04-2019,-116,7.5,Arizona Diamondbacks,San Diego Padres
02-04-2019,-156,7,San Francisco Giants,Los Angeles Dodgers
02-04-2019,-230,7.5,Detroit Tigers,New York Yankees
02-04-2019,-174,8.5,Baltimore Orioles,Toronto Blue Jays
02-04-2019,200,9,Houston Astros,Texas Rangers
02-04-2019,135,7,Minnesota Twins,Kansas City Royals
02-04-2019,160,8,Boston Red Sox,Oakland Athletics
02-04-2019,-110,8.5,Los Angeles Angels,Seattle Mariners
02-04-2019,-170,7,Colorado Rockies,Tampa Bay Rays
03-04-2019,-128,8.5,Milwaukee Brewers,Cincinnati Reds
03-04-2019,125,8,Philadelphia Phillies,Washington Nationals
03-04-2019,-142,7,Arizona Diamondbacks,San Diego Padres
03-04-2019,190,6.5,New York Mets,Miami Marlins
03-04-2019,-106,7.5,St. Louis Cardinals,Pittsburgh Pirates
03-04-2019,-130,9,Chicago Cubs,Atlanta Braves
03-04-2019,-190,7,San Francisco Giants,Los Angeles Dodgers
03-04-2019,-185,6.5,Chicago White Sox,Cleveland Indians
03-04-2019,120,8.5,Minnesota Twins,Kansas City Royals
03-04-2019,-176,9.5,Detroit Tigers,New York Yankees
03-04-2019,-150,8.5,Baltimore Orioles,Toronto Blue Jays
03-04-2019,190,9,Houston Astros,Texas Rangers
03-04-2019,130,8.5,Boston Red Sox,Oakland Athletics
